Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
29.124,29.55,NO MODE,NO MAX_MODE,2022-03-10 23:02:52.769709
25.81,26.549999999999997,21.7,NO MAX_MODE,2022-03-11 01:49:02.506428
25.852,26.65,26.8,NO MAX_MODE,2022-03-11 05:46:37.908001
24.954,25.0,27.3,NO MAX_MODE,2022-03-11 07:56:09.027595
22.684,22.65,23.0,NO MAX_MODE,2022-03-11 11:50:31.668660
26.262,26.1,NO MODE,NO MAX_MODE,2022-03-11 12:51:59.199753
27.456,27.55,27.5,NO MAX_MODE,2022-03-11 12:59:38.870277
27.376,26.4,NO MODE,NO MAX_MODE,2022-03-11 13:13:07.900631
27.226,27.1,NO MODE,NO MAX_MODE,2022-03-11 13:27:28.234519
26.758,25.65,24.9,NO MAX_MODE,2022-03-11 14:04:01.534543
24.67,24.5,NO MODE,NO MAX_MODE,2022-03-11 14:21:30.422586
28.428,28.25,27.8,NO MAX_MODE,2022-03-11 14:40:50.246767
26.96,27.6,NO MODE,NO MAX_MODE,2022-03-11 14:59:33.108431
26.138,26.6,NO MODE,NO MAX_MODE,2022-03-11 15:15:33.382936
27.74,28.5,24.1,NO MAX_MODE,2022-03-11 15:35:39.671798
25.392,25.4,25.4,NO MAX_MODE,2022-03-11 15:47:06.744303
21.33,23.25,NO MODE,NO MAX_MODE,2022-03-11 17:39:27.694492
27.25,28.200000000000003,29.3,NO MAX_MODE,2022-03-11 18:37:35.890258
23.464,22.7,NO MODE,NO MAX_MODE,2022-03-11 19:14:37.272390
28.444,29.700000000000003,33.3,NO MAX_MODE,2022-03-11 20:08:52.118297
27.95,29.35,29.6,NO MAX_MODE,2022-03-11 20:47:07.460214
24.516,23.65,22.9,NO MAX_MODE,2022-03-11 21:00:12.490005
26.56,28.35,28.5,NO MAX_MODE,2022-03-11 21:24:46.695919
26.782,27.0,NO MODE,NO MAX_MODE,2022-03-12 01:15:18.408450
25.944,26.15,NO MODE,NO MAX_MODE,2022-03-12 05:35:59.789912
29.622,29.7,NO MODE,NO MAX_MODE,2022-03-12 05:50:38.378833
24.048,23.4,22.9,NO MAX_MODE,2022-03-12 06:18:53.827672
23.784,21.4,21.3,NO MAX_MODE,2022-03-12 11:40:22.855504
27.932,28.75,24.6,NO MAX_MODE,2022-03-12 11:53:12.801847
27.124,28.700000000000003,29.9,NO MAX_MODE,2022-03-12 12:50:44.012611
28.352,28.2,28.2,NO MAX_MODE,2022-03-12 13:05:39.348329
25.414,23.15,22.4,NO MAX_MODE,2022-03-12 13:41:23.780357
27.354,29.700000000000003,21.7,NO MAX_MODE,2022-03-12 13:52:00.427975
23.242,22.4,19.5,NO MAX_MODE,2022-03-12 14:13:12.975355
27.83,28.0,NO MODE,NO MAX_MODE,2022-03-12 14:32:22.801578
24.996,24.2,24.0,NO MAX_MODE,2022-03-12 14:47:56.761610
30.906,30.95,NO MODE,NO MAX_MODE,2022-03-12 14:53:20.488558
28.572,29.7,29.9,NO MAX_MODE,2022-03-12 15:08:07.015085
25.43,24.5,23.0,NO MAX_MODE,2022-03-12 15:48:13.528535
27.264,26.95,22.3,NO MAX_MODE,2022-03-12 18:03:35.008301
25.712,27.5,29.2,NO MAX_MODE,2022-03-12 18:50:04.457821
27.27,27.65,24.5,NO MAX_MODE,2022-03-12 19:10:01.273639
30.416,30.200000000000003,32.5,NO MAX_MODE,2022-03-12 20:08:59.661701
29.818,30.0,30.0,NO MAX_MODE,2022-03-12 21:07:55.526045
29.31,29.5,NO MODE,NO MAX_MODE,2022-03-12 21:14:38.060800
26.998,27.5,NO MODE,NO MAX_MODE,2022-03-12 21:24:53.585398
26.416,27.3,27.3,NO MAX_MODE,2022-03-12 21:30:52.316250
27.332,28.05,28.1,NO MAX_MODE,2022-03-12 21:49:22.289670
26.884,24.7,NO MODE,NO MAX_MODE,2022-03-12 21:58:31.552804
27.366,28.6,32.0,NO MAX_MODE,2022-03-12 22:06:36.311263
27.314,27.25,29.4,NO MAX_MODE,2022-03-12 22:17:03.063239
29.582,29.7,29.8,NO MAX_MODE,2022-03-13 00:52:50.741941
24.726,23.5,21.8,NO MAX_MODE,2022-03-13 04:13:48.936448
29.836,30.0,NO MODE,NO MAX_MODE,2022-03-13 04:32:04.825342
28.052,29.4,29.4,NO MAX_MODE,2022-03-13 07:36:32.147567
28.888,30.2,NO MODE,NO MAX_MODE,2022-03-13 11:57:04.706111
27.644,28.45,30.2,NO MAX_MODE,2022-03-13 12:13:17.973406
28.514,30.65,23.1,NO MAX_MODE,2022-03-13 12:23:35.479210
28.308,29.7,NO MODE,NO MAX_MODE,2022-03-13 13:14:14.031673
25.866,23.55,23.1,NO MAX_MODE,2022-03-13 13:26:29.972180
30.718,30.8,30.8,NO MAX_MODE,2022-03-13 13:41:12.859843
31.954,31.4,NO MODE,NO MAX_MODE,2022-03-13 13:56:19.196727
27.08,28.299999999999997,NO MODE,NO MAX_MODE,2022-03-13 14:10:22.682785
27.132,25.4,NO MODE,NO MAX_MODE,2022-03-13 14:35:32.334002
29.04,29.2,29.2,NO MAX_MODE,2022-03-13 14:55:13.959199
22.608,21.5,21.6,NO MAX_MODE,2022-03-13 15:37:05.963492
25.324,24.9,21.1,NO MAX_MODE,2022-03-13 15:57:17.872075
26.148,27.200000000000003,NO MODE,NO MAX_MODE,2022-03-13 16:11:42.378989
26.514,26.65,21.5,NO MAX_MODE,2022-03-13 16:22:58.222448
27.392,27.4,NO MODE,NO MAX_MODE,2022-03-13 17:35:20.808698
23.804,21.55,20.6,NO MAX_MODE,2022-03-13 17:47:48.976731
25.03,25.15,NO MODE,NO MAX_MODE,2022-03-13 18:02:58.182691
26.024,25.9,NO MODE,NO MAX_MODE,2022-03-13 19:03:56.763027
23.408,21.6,21.5,NO MAX_MODE,2022-03-13 19:19:09.710342
22.588,20.2,19.4,NO MAX_MODE,2022-03-13 19:25:17.580776
23.772,23.9,NO MODE,NO MAX_MODE,2022-03-13 20:23:19.726467
28.68,28.65,29.2,NO MAX_MODE,2022-03-14 00:20:05.664147
27.484,28.7,28.7,NO MAX_MODE,2022-03-14 00:27:36.302036
23.948,23.05,NO MODE,NO MAX_MODE,2022-03-14 03:57:05.476538
22.84,22.7,17.8,NO MAX_MODE,2022-03-14 04:07:03.047869
23.948,25.05,19.7,NO MAX_MODE,2022-03-14 04:22:23.591914
21.92,19.5,19.3,NO MAX_MODE,2022-03-14 06:34:41.457628
27.12,27.2,NO MODE,NO MAX_MODE,2022-03-14 06:57:35.264119
23.52,23.5,NO MODE,NO MAX_MODE,2022-03-14 11:43:53.696293
23.9,24.6,27.1,NO MAX_MODE,2022-03-14 12:41:54.175779
24.9,23.0,NO MODE,NO MAX_MODE,2022-03-14 13:32:56.952630
26.272,28.7,29.7,NO MAX_MODE,2022-03-14 14:44:26.483676
25.852,25.7,25.4,NO MAX_MODE,2022-03-14 15:19:24.243013
28.3,28.1,27.9,NO MAX_MODE,2022-03-14 15:42:08.913930
27.014,26.8,26.8,NO MAX_MODE,2022-03-14 16:15:01.410443
28.75,28.65,28.6,NO MAX_MODE,2022-03-14 16:31:31.842350
24.65,24.45,24.3,NO MAX_MODE,2022-03-14 17:09:44.992624
27.858,27.7,NO MODE,NO MAX_MODE,2022-03-14 18:30:46.679616
26.736,26.7,26.8,NO MAX_MODE,2022-03-14 19:10:48.672568
28.896,28.8,NO MODE,NO MAX_MODE,2022-03-14 19:35:44.994115
28.336,28.200000000000003,28.0,NO MAX_MODE,2022-03-14 20:09:25.823030
30.486,29.6,29.6,NO MAX_MODE,2022-03-14 20:36:33.574105
30.566,29.85,NO MODE,NO MAX_MODE,2022-03-14 20:59:53.795207
26.474,27.6,29.8,NO MAX_MODE,2022-03-15 01:25:50.727899
27.524,27.6,27.5,NO MAX_MODE,2022-03-15 04:53:02.938260
25.604,24.05,NO MODE,NO MAX_MODE,2022-03-15 08:03:28.205584
23.162,21.25,NO MODE,NO MAX_MODE,2022-03-15 08:17:47.221159
22.334,21.45,NO MODE,NO MAX_MODE,2022-03-15 08:33:12.918580
24.022,23.549999999999997,NO MODE,NO MAX_MODE,2022-03-15 11:45:38.174264
25.492,25.55,21.4,NO MAX_MODE,2022-03-15 12:05:53.367896
26.76,26.75,26.8,NO MAX_MODE,2022-03-15 12:43:34.140322
27.512,27.5,26.8,NO MAX_MODE,2022-03-15 12:54:50.984115
26.736,27.55,NO MODE,NO MAX_MODE,2022-03-15 13:02:44.294262
26.356,26.25,NO MODE,NO MAX_MODE,2022-03-15 13:34:52.648390
28.598,28.6,28.8,NO MAX_MODE,2022-03-15 13:42:45.304416
30.296,28.9,28.3,NO MAX_MODE,2022-03-15 14:02:00.187455
26.782,28.4,21.6,NO MAX_MODE,2022-03-15 14:24:07.446946
24.948,23.1,22.8,NO MAX_MODE,2022-03-15 14:46:49.260851
30.036,29.3,29.3,NO MAX_MODE,2022-03-15 15:02:15.958931
29.908,29.6,29.4,NO MAX_MODE,2022-03-15 15:14:47.756057
32.796,32.650000000000006,32.3,NO MAX_MODE,2022-03-15 15:29:52.121398
26.972,26.95,NO MODE,NO MAX_MODE,2022-03-15 15:50:44.082228
29.402,29.2,NO MODE,NO MAX_MODE,2022-03-15 16:44:23.710521
26.43,28.35,NO MODE,NO MAX_MODE,2022-03-15 17:05:37.362489
25.892,26.25,20.8,NO MAX_MODE,2022-03-15 17:23:34.856251
29.264,29.45,29.7,NO MAX_MODE,2022-03-15 18:22:56.808168
28.65,29.0,26.0,NO MAX_MODE,2022-03-15 19:30:24.718553
25.18,23.15,NO MODE,NO MAX_MODE,2022-03-15 20:23:29.341222
27.676000000000002,26.15,23.0,NO MAX_MODE,2022-03-15 20:48:19.400970
28.024,27.75,27.6,NO MAX_MODE,2022-03-15 21:09:32.932110
27.868,27.85,NO MODE,NO MAX_MODE,2022-03-16 00:42:42.886009
29.506,29.5,NO MODE,NO MAX_MODE,2022-03-16 00:53:19.753186
25.762,26.35,23.2,NO MAX_MODE,2022-03-16 04:23:22.248959
23.483999999999998,22.5,22.5,NO MAX_MODE,2022-03-16 04:59:21.431393
29.404,29.5,29.9,NO MAX_MODE,2022-03-16 05:13:29.869629
26.522,27.15,27.3,NO MAX_MODE,2022-03-16 07:21:29.376288
25.024,26.450000000000003,NO MODE,NO MAX_MODE,2022-03-16 07:34:13.383929
23.606,23.55,24.4,NO MAX_MODE,2022-03-16 11:49:42.560016
32.822,33.3,33.5,NO MAX_MODE,2022-03-16 12:02:50.908132
26.422,27.6,21.9,NO MAX_MODE,2022-03-16 12:41:00.856171
27.646,27.9,28.8,NO MAX_MODE,2022-03-16 13:12:36.748105
24.284,21.85,NO MODE,NO MAX_MODE,2022-03-16 13:30:16.952479
32.34,32.650000000000006,32.9,NO MAX_MODE,2022-03-16 13:40:54.061331
29.580000000000002,29.45,29.3,NO MAX_MODE,2022-03-16 13:48:03.129788
27.414,27.3,27.0,NO MAX_MODE,2022-03-16 14:10:11.589884
26.358,27.15,NO MODE,NO MAX_MODE,2022-03-16 15:34:01.902070
28.502,28.0,NO MODE,NO MAX_MODE,2022-03-16 15:47:53.277182
23.63,23.35,NO MODE,NO MAX_MODE,2022-03-16 15:58:01.971346
27.604,28.1,28.1,NO MAX_MODE,2022-03-16 16:05:51.983369
28.99,29.15,NO MODE,NO MAX_MODE,2022-03-16 17:19:18.613165
28.178,26.3,23.5,NO MAX_MODE,2022-03-16 17:38:36.790943
23.7,21.75,21.6,NO MAX_MODE,2022-03-16 17:49:27.551981
31.0,31.2,31.6,NO MAX_MODE,2022-03-16 18:00:55.392900
28.844,28.85,29.4,NO MAX_MODE,2022-03-16 19:23:15.760902
28.94,29.0,29.5,NO MAX_MODE,2022-03-16 19:42:52.753939
31.424,31.25,NO MODE,NO MAX_MODE,2022-03-16 19:49:46.750774
28.916,28.85,27.9,NO MAX_MODE,2022-03-16 20:01:49.033177
