Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-02-14 20:11:52.160186,,2.3544,Food_retrieval,Left,Right
2022-02-14 20:12:37.405044,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:12:40.604682,*,,BB4,Left,Right
2022-02-14 20:12:42.847948,,2.2371,Food_retrieval,Left,Right
2022-02-14 20:13:20.792498,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:13:24.691120,*,,BB4,Left,Right
2022-02-14 20:13:27.477099,,2.7797,Food_retrieval,Left,Right
2022-02-14 20:14:00.316390,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:14:07.193772,*,,BB3,Left,Right
2022-02-14 20:14:07.225037,,25,drink,Left,Right
2022-02-14 20:15:05.102119,1.8556,,Run_log_BB2,Left,Right
2022-02-14 20:15:05.107905,179086,25,exit_drink,Left,Right
2022-02-14 20:15:09.489137,*,,BB4,Left,Right
2022-02-14 20:15:11.779395,,2.2839,Food_retrieval,Left,Right
2022-02-14 20:15:27.859798,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:15:44.767843,*,,BB3,Left,Right
2022-02-14 20:15:44.808527,,34,drink,Left,Right
2022-02-14 20:15:57.922308,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:15:57.928402,129048,34,exit_drink,Left,Right
2022-02-14 20:16:05.579763,*,,BB4,Left,Right
2022-02-14 20:16:07.322570,,1.7305,Food_retrieval,Left,Right
2022-02-14 20:16:19.315799,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:16:41.080263,*,,BB4,Left,Right
2022-02-14 20:16:42.636818,,1.545,Food_retrieval,Left,Right
2022-02-14 20:16:52.357369,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:16:56.135439,*,,BB4,Left,Right
2022-02-14 20:16:59.404849,,3.263,Food_retrieval,Left,Right
2022-02-14 20:17:07.902262,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:17:12.337022,*,,BB3,Left,Right
2022-02-14 20:17:12.369651,,27,drink,Left,Right
2022-02-14 20:17:29.913557,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:17:29.919594,124633,27,exit_drink,Left,Right
2022-02-14 20:17:32.519484,*,,BB3,Left,Right
2022-02-14 20:17:32.536404,,11,drink,Left,Right
2022-02-14 20:18:58.922058,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:18:58.928274,1507540,11,exit_drink,Left,Right
2022-02-14 20:19:04.288287,*,,BB4,Left,Right
2022-02-14 20:19:07.123954,,2.8241,Food_retrieval,Left,Right
2022-02-14 20:19:26.055783,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:19:36.335178,*,,BB4,Left,Right
2022-02-14 20:19:43.591909,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:19:56.507552,*,,BB3,Left,Right
2022-02-14 20:19:56.579726,,67,drink,Left,Right
2022-02-14 20:20:08.610636,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:20:08.616247,143591,67,exit_drink,Left,Right
2022-02-14 20:20:18.424993,*,,BB3,Left,Right
2022-02-14 20:20:18.450364,,19,drink,Left,Right
2022-02-14 20:20:39.278682,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:20:39.284427,134897,19,exit_drink,Left,Right
2022-02-14 20:20:46.232169,-,,END,Left,Right
2022-02-14 20:28:15.380438,+,,START,Left,Right
2022-02-14 20:28:26.142125,*,,BB2,Left,Right
2022-02-14 20:28:27.089690,*,,BB4,Left,Right
2022-02-14 20:28:29.126849,,2.0283,Food_retrieval,Left,Right
2022-02-14 20:28:58.132531,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:29:05.977418,*,,BB3,Left,Right
2022-02-14 20:29:06.049812,,67,drink,Left,Right
2022-02-14 20:29:26.101482,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:29:26.107812,190662,67,exit_drink,Left,Right
2022-02-14 20:29:29.616120,*,,BB4,Left,Right
2022-02-14 20:29:31.346061,,1.7208,Food_retrieval,Left,Right
2022-02-14 20:29:44.566050,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:29:48.915041,*,,BB4,Left,Right
2022-02-14 20:29:50.817343,,1.8936,Food_retrieval,Left,Right
2022-02-14 20:30:12.367963,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:30:21.406347,-,,END,Left,Right
2022-02-14 20:35:28.750032,+,,START,Left,Right
2022-02-14 20:35:33.277888,*,,BB2,Left,Right
2022-02-14 20:35:35.085315,*,,BB4,Left,Right
2022-02-14 20:35:41.404286,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:35:44.125358,*,,BB3,Left,Right
2022-02-14 20:35:44.229319,,98,drink,Left,Right
2022-02-14 20:36:29.063618,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:36:29.069369,330372,98,exit_drink,Left,Right
2022-02-14 20:36:33.389745,*,,BB4,Left,Right
2022-02-14 20:36:35.413522,,2.0175,Food_retrieval,Left,Right
2022-02-14 20:36:46.480716,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:37:07.604751,*,,BB3,Left,Right
2022-02-14 20:37:07.637230,,26,drink,Left,Right
2022-02-14 20:37:17.603997,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:37:17.610121,79406,26,exit_drink,Left,Right
2022-02-14 20:37:31.523435,*,,BB3,Left,Right
2022-02-14 20:37:31.532663,,4,drink,Left,Right
2022-02-14 20:37:59.482088,0.4,,Run_log_BB2,Left,Right
2022-02-14 20:37:59.488539,75811,4,exit_drink,Left,Right
2022-02-14 20:38:06.570996,*,,BB4,Left,Right
2022-02-14 20:38:08.433156,,1.8552,Food_retrieval,Left,Right
2022-02-14 20:38:21.821362,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:38:30.726339,*,,BB3,Left,Right
2022-02-14 20:38:30.782429,,50,drink,Left,Right
2022-02-14 20:38:35.667642,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:38:35.673374,39932,50,exit_drink,Left,Right
2022-02-14 20:38:44.738332,-,,END,Left,Right
2022-02-14 20:47:55.590385,+,,START,Left,Right
2022-02-14 20:48:05.606157,*,,BB2,Left,Right
2022-02-14 20:48:07.068766,*,,BB4,Left,Right
2022-02-14 20:48:09.164870,,2.0824,Food_retrieval,Left,Right
2022-02-14 20:48:34.168727,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:48:38.248034,*,,BB4,Left,Right
2022-02-14 20:48:42.041529,,3.7827,Food_retrieval,Left,Right
2022-02-14 20:48:55.429587,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:48:57.666581,*,,BB3,Left,Right
2022-02-14 20:48:57.683441,,11,drink,Left,Right
2022-02-14 20:49:22.211456,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:49:22.217052,102190,11,exit_drink,Left,Right
2022-02-14 20:49:25.297057,*,,BB4,Left,Right
2022-02-14 20:49:26.687087,,1.3684,Food_retrieval,Left,Right
2022-02-14 20:49:34.897288,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:50:03.214646,*,,BB3,Left,Right
2022-02-14 20:50:03.373804,,153,drink,Left,Right
2022-02-14 20:50:23.807750,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:50:23.813447,75613,153,exit_drink,Left,Right
2022-02-14 20:50:34.276886,*,,BB3,Left,Right
2022-02-14 20:50:34.467363,,185,drink,Left,Right
2022-02-14 20:50:46.755626,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:50:46.761587,70295,185,exit_drink,Left,Right
2022-02-14 20:50:53.501928,*,,BB4,Left,Right
2022-02-14 20:50:55.470957,,1.9581,Food_retrieval,Left,Right
2022-02-14 20:51:12.258178,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:51:19.663743,*,,BB4,Left,Right
2022-02-14 20:51:23.617274,0.0,,Food_log_BB2,Left,Right
2022-02-14 20:51:47.567537,*,,BB3,Left,Right
2022-02-14 20:51:47.765815,,193,drink,Left,Right
2022-02-14 20:52:01.835344,0.0,,Run_log_BB2,Left,Right
2022-02-14 20:52:01.840914,55219,193,exit_drink,Left,Right
2022-02-14 20:52:08.785106,*,,BB3,Left,Right
2022-02-14 20:52:08.834259,,43,drink,Left,Right
